school_group,tj_pathway,division,school_id,school,class_year,nmsf_count,nmsf_status,nmsf_count_available,nmsf_source_id,nmsf_source_title,nmsf_source_url,nmsf_source_date,nmsf_source_hash,count_missingness_note
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2023,2,verified_count,true,lcps_2023_semifinalists,62 LCPS Students Named National Merit Scholarship Semifinalists,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=441768&PageID=1,2022-09-16,a43ed988b6e7b2e1953067712c4558c795ee3e33f5d4ded0398ef280394db078,source-backed numeric count
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2024,0,verified_zero,true,lcps_2024_semifinalists,LCPS National Merit Semifinalists Announced,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=467748&PageID=1,2023-09-19,5ccd5743977eb9a17cf8b6ed7286444e63329702887aecbaa76858e15bd3321f,source-backed numeric count
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2025,2,verified_count,true,patch_ashburn_2025_semifinalists,Seniors At Loudoun County Schools Named National Merit Semifinalists,https://patch.com/virginia/ashburn/seniors-loudoun-county-schools-named-national-merit-semifinalists,2024-09-11,b5e4fb749ced03ac49a0266ee2279c3301216ffe52da64905a13d431fa156b49,source-backed numeric count
Base public schools,Loudoun,LCPS,dominion_high_school,Dominion High School,2026,3,verified_count,true,lcps_2026_semifinalists,Sixty-nine LCPS Students Named 2026 National Merit Semifinalists,https://www.lcps.org/o/lcps/article/2436621,2025-09-22,dee8196ee58b69e1fef994a65cb0b34b27f2b8fd0cb0a8fe79245d0438716bc7,source-backed numeric count
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2019,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2020,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2021,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2022,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2023,3,verified_count,true,lcps_2023_semifinalists,62 LCPS Students Named National Merit Scholarship Semifinalists,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=441768&PageID=1,2022-09-16,a43ed988b6e7b2e1953067712c4558c795ee3e33f5d4ded0398ef280394db078,source-backed numeric count
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2024,7,verified_count,true,lcps_2024_semifinalists,LCPS National Merit Semifinalists Announced,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=467748&PageID=1,2023-09-19,5ccd5743977eb9a17cf8b6ed7286444e63329702887aecbaa76858e15bd3321f,source-backed numeric count
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2025,2,verified_count,true,patch_ashburn_2025_semifinalists,Seniors At Loudoun County Schools Named National Merit Semifinalists,https://patch.com/virginia/ashburn/seniors-loudoun-county-schools-named-national-merit-semifinalists,2024-09-11,b5e4fb749ced03ac49a0266ee2279c3301216ffe52da64905a13d431fa156b49,source-backed numeric count
Base public schools,Loudoun,LCPS,freedom_high_school_south_riding,Freedom High School (South Riding),2026,7,verified_count,true,lcps_2026_semifinalists,Sixty-nine LCPS Students Named 2026 National Merit Semifinalists,https://www.lcps.org/o/lcps/article/2436621,2025-09-22,dee8196ee58b69e1fef994a65cb0b34b27f2b8fd0cb0a8fe79245d0438716bc7,source-backed numeric count
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2019,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2020,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2021,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2022,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2023,3,verified_count,true,lcps_2023_semifinalists,62 LCPS Students Named National Merit Scholarship Semifinalists,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=441768&PageID=1,2022-09-16,a43ed988b6e7b2e1953067712c4558c795ee3e33f5d4ded0398ef280394db078,source-backed numeric count
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2024,2,verified_count,true,lcps_2024_semifinalists,LCPS National Merit Semifinalists Announced,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=467748&PageID=1,2023-09-19,5ccd5743977eb9a17cf8b6ed7286444e63329702887aecbaa76858e15bd3321f,source-backed numeric count
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2025,1,verified_count,true,patch_ashburn_2025_semifinalists,Seniors At Loudoun County Schools Named National Merit Semifinalists,https://patch.com/virginia/ashburn/seniors-loudoun-county-schools-named-national-merit-semifinalists,2024-09-11,b5e4fb749ced03ac49a0266ee2279c3301216ffe52da64905a13d431fa156b49,source-backed numeric count
Base public schools,Loudoun,LCPS,heritage_high_school_leesburg,Heritage High School (Leesburg),2026,1,verified_count,true,lcps_2026_semifinalists,Sixty-nine LCPS Students Named 2026 National Merit Semifinalists,https://www.lcps.org/o/lcps/article/2436621,2025-09-22,dee8196ee58b69e1fef994a65cb0b34b27f2b8fd0cb0a8fe79245d0438716bc7,source-backed numeric count
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2019,,not_operating,false,,,,,,school not operating for class year
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2020,,not_operating,false,,,,,,school not operating for class year
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2021,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2022,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2023,3,verified_count,true,lcps_2023_semifinalists,62 LCPS Students Named National Merit Scholarship Semifinalists,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=441768&PageID=1,2022-09-16,a43ed988b6e7b2e1953067712c4558c795ee3e33f5d4ded0398ef280394db078,source-backed numeric count
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2024,5,verified_count,true,lcps_2024_semifinalists,LCPS National Merit Semifinalists Announced,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=467748&PageID=1,2023-09-19,5ccd5743977eb9a17cf8b6ed7286444e63329702887aecbaa76858e15bd3321f,source-backed numeric count
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2025,6,verified_count,true,patch_ashburn_2025_semifinalists,Seniors At Loudoun County Schools Named National Merit Semifinalists,https://patch.com/virginia/ashburn/seniors-loudoun-county-schools-named-national-merit-semifinalists,2024-09-11,b5e4fb749ced03ac49a0266ee2279c3301216ffe52da64905a13d431fa156b49,source-backed numeric count
Base public schools,Loudoun,LCPS,independence_high_school,Independence High School,2026,8,verified_count,true,lcps_2026_semifinalists,Sixty-nine LCPS Students Named 2026 National Merit Semifinalists,https://www.lcps.org/o/lcps/article/2436621,2025-09-22,dee8196ee58b69e1fef994a65cb0b34b27f2b8fd0cb0a8fe79245d0438716bc7,source-backed numeric count
Base public schools,Loudoun,LCPS,john_champe_high_school,John Champe High School,2019,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,john_champe_high_school,John Champe High School,2020,,missing_source,false,,,,,,missing NMSF source; not treated as zero
