class_year,group,group_nmsf_count,virginia_location_semifinalist_total,group_share_of_virginia_location_total_pct,state_selection_unit_numerator_adjustment,state_selection_unit_group_nmsf_count,virginia_selection_index_cutoff,virginia_statewide_semifinalist_total,group_share_of_statewide_total_pct,selection_unit_numerator_scope_status,source_status,state_total_status,state_total_source_title,cutoff_source_url,state_total_source_url,location_total_status,location_total_source_url,state_selection_unit_reconciliation_status
2023,Balanced count all schools,325.000000,400.000000,81.250000,1.000000,324.000000,221.000000,397.000000,81.612091,scope_matched,cutoff_source_backed_nmsc_guide_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2023 Program,https://web.archive.org/web/20230127104949id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,https://web.archive.org/web/20230127104949id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,exact_boarding_scope_reconciliation
2023,Balanced public including TJHSST,299.000000,400.000000,74.750000,0.000000,299.000000,221.000000,397.000000,75.314861,scope_matched,cutoff_source_backed_nmsc_guide_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2023 Program,https://web.archive.org/web/20230127104949id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,https://web.archive.org/web/20230127104949id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,exact_boarding_scope_reconciliation
2023,Balanced base public including program,167.000000,400.000000,41.750000,0.000000,167.000000,221.000000,397.000000,42.065491,scope_matched,cutoff_source_backed_nmsc_guide_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2023 Program,https://web.archive.org/web/20230127104949id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,https://web.archive.org/web/20230127104949id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,exact_boarding_scope_reconciliation
2023,TJHSST,132.000000,400.000000,33.000000,0.000000,132.000000,221.000000,397.000000,33.249370,scope_matched,cutoff_source_backed_nmsc_guide_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2023 Program,https://web.archive.org/web/20230127104949id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,https://web.archive.org/web/20230127104949id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,exact_boarding_scope_reconciliation
2023,Balanced private schools,26.000000,400.000000,6.500000,1.000000,25.000000,221.000000,397.000000,6.297229,scope_matched,cutoff_source_backed_nmsc_guide_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2023 Program,https://web.archive.org/web/20230127104949id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,https://web.archive.org/web/20230127104949id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,exact_boarding_scope_reconciliation
2024,Balanced count all schools,362.000000,470.000000,77.021277,1.000000,,219.000000,467.000000,,two_student_location_difference_unresolved,cutoff_source_backed_nmsc_guide_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2024 Program,https://web.archive.org/web/20231024130754id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,https://web.archive.org/web/20231024130754id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,partial_scope_reconciliation
2024,Balanced public including TJHSST,336.000000,470.000000,71.489362,0.000000,,219.000000,467.000000,,two_student_location_difference_unresolved,cutoff_source_backed_nmsc_guide_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2024 Program,https://web.archive.org/web/20231024130754id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,https://web.archive.org/web/20231024130754id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,partial_scope_reconciliation
2024,Balanced base public including program,171.000000,470.000000,36.382979,0.000000,,219.000000,467.000000,,two_student_location_difference_unresolved,cutoff_source_backed_nmsc_guide_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2024 Program,https://web.archive.org/web/20231024130754id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,https://web.archive.org/web/20231024130754id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,partial_scope_reconciliation
2024,TJHSST,165.000000,470.000000,35.106383,0.000000,,219.000000,467.000000,,two_student_location_difference_unresolved,cutoff_source_backed_nmsc_guide_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2024 Program,https://web.archive.org/web/20231024130754id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,https://web.archive.org/web/20231024130754id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,partial_scope_reconciliation
2024,Balanced private schools,26.000000,470.000000,5.531915,1.000000,,219.000000,467.000000,,two_student_location_difference_unresolved,cutoff_source_backed_nmsc_guide_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2024 Program,https://web.archive.org/web/20231024130754id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,https://web.archive.org/web/20231024130754id_/https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,partial_scope_reconciliation
