school_id,school,sector,tj_pathway,division,district_name,class_year,grade11_school_year,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_file,enrollment_source_rows,enrollment_source_variable,nces_school_id,pss_ppin,pss_imputation_flag,notes
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,Loudoun County Public Schools,2022,2020-21,410,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_012,,510225000913,,,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,Loudoun County Public Schools,2023,2021-22,379,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_012,,510225000913,,,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,Loudoun County Public Schools,2024,2022-23,407,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_012,,510225000913,,,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,Loudoun County Public Schools,2025,2023-24,394,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_012,,510225000913,,,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,Loudoun County Public Schools,2026,2024-25,401,reported,"NCES CCD 2024-25 Public Elementary/Secondary School Universe Survey Data, v.2a, School Membership",https://nces.ed.gov/ccd/Data/zip/ccd_sch_052_2425_l_1a_073025.zip,2025-07-30,4a7f660c5fc5eaae488dd02fd43498f349fc828b227edd0970d5b6995ead4d4d,ccd_sch_052_2425_l_1a_073025.zip,10288400,GRADE=11 total STUDENT_COUNT,510225000913,,,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,Loudoun County Public Schools,2019,2017-18,353,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_017,,510225002411,,,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,Loudoun County Public Schools,2020,2018-19,409,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_017,,510225002411,,,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,Loudoun County Public Schools,2021,2019-20,391,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_017,,510225002411,,,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,Loudoun County Public Schools,2022,2020-21,362,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_017,,510225002411,,,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,Loudoun County Public Schools,2023,2021-22,368,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_017,,510225002411,,,
